ALGORITHM,THREADS,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
TDS_P,32,22356,22860,23389,22775,23054,23011,23294,23134,22820,22083,22102,22932,22816,23715,23102,22830,22994,22804,22930,23071,22981,22568,23129,23113,23094,23129,22740,23314,22768,23274
TDS_P,33,22412,23038,22557,22679,22536,22764,22713,23477,21945,22680,22594,22952,22416,21812,22995,22658,22898,22457,22563,23271,22629,22650,23031,22372,22675,22207,22585,22764,22317,22957
TDS_P,34,21730,22018,22150,21897,22806,22311,22295,22204,22574,22248,22318,22358,22170,22241,22425,22294,22245,22434,22121,22292,22364,22515,22339,22318,22232,22432,22341,22264,22238,22499
TDS_P,35,22218,21845,22360,22147,22164,21269,22288,21904,21685,22621,22084,22216,22028,22541,22031,22691,22601,21946,21470,21578,22131,21913,21656,21953,21830,22248,21520,21889,21681,21983
TDS_P,36,21672,21584,21610,21678,22288,21607,21048,22106,21788,21645,21931,21991,21648,21825,21743,21979,21348,21304,21905,21588,21638,21826,21893,21696,21905,22059,20844,21920,21573,21582
TDS_P,37,21634,21682,21555,21606,21963,21413,21510,21476,21491,21514,20994,22251,21519,21384,20696,21205,21593,21473,21563,21437,21965,21849,21793,21286,21166,21890,21152,21627,21404,21587
TDS_P,38,21185,21566,21325,21695,21214,21558,21150,21191,21181,21247,20839,21222,21094,21762,21111,21498,21169,21546,20743,21515,20846,21318,21262,21181,21204,21166,21289,21209,21468,21171
TDS_P,39,20372,20809,20782,21048,20910,20878,21517,21163,21122,20872,21176,20881,20598,21797,21183,20864,21015,20930,21064,20692,21038,20844,20610,21149,20616,21020,20584,21325,21109,20898
TDS_P,40,20846,20626,20676,20633,20823,20597,20810,20786,20644,20183,20786,20918,21026,20880,20830,20653,20066,20337,20822,21000,20710,20495,20659,20375,20603,20484,20833,20417,20736,20479
TDS_P,41,20597,20361,20179,20298,19933,20327,20800,20725,20580,20452,20235,20191,20582,20674,19929,20626,20398,20440,20618,20303,20315,20912,20366,20404,20103,20427,20489,20727,20592,20382
TDS_P,42,20094,20141,19603,20684,20176,20317,20361,20214,19931,20329,20337,20531,19874,20472,19803,20347,20366,20231,20323,20285,20341,20353,20044,19958,20081,20148,19993,20297,20156,19855
TDS_P,43,20096,20076,20097,20122,19611,19821,19951,19915,20175,19849,19788,20202,19958,19498,20171,19830,19637,20125,19523,20073,20180,20062,20519,20190,19781,19819,20034,20199,20673,20046
TDS_P,44,20058,19819,19851,19739,20246,19202,19735,19555,19777,19413,19776,19844,19660,19578,20088,19831,19580,19583,19553,19659,19772,19706,20125,19663,19845,19591,19632,19742,19827,19693
TDS_P,45,19489,19361,19457,19648,19536,19467,19632,19413,18983,19841,19250,19535,19379,20587,19564,19442,19423,19675,19697,19491,19541,19447,19637,18918,19565,19580,19598,19740,19830,19615
TDS_P,46,19315,19280,19151,19311,19609,19325,19639,19236,19165,19277,19114,19117,19176,19505,19325,19454,19292,18926,19407,19259,19333,19388,19063,19428,19223,19366,19298,19330,19423,19170
TDS_P,47,18873,19073,18887,19354,19193,19259,19053,19070,19239,19226,19295,19269,19102,19067,19230,19123,19267,19348,18973,19458,19087,19214,19134,19029,19137,18475,19052,18930,19227,19614
TDS_P,48,18992,19147,19178,18900,19242,18843,18894,19098,18954,18920,18892,18391,19409,18951,18981,19177,19045,18751,19060,18947,19135,18774,18990,19235,18903,18767,19248,18872,18872,19232
DD_P,1,208059,207174,208496,207900,206386,208242,206637,206619,206769,206726,207789,207618,207275,219434,207504,207358,208381,206900,206957,206507,205781,206124,206472,206144,206186,206909,205934,206171,205155,206285
DD_P,2,145945,151986,117217,110469,125233,123148,138088,150565,141881,125202,144083,111821,122861,113328,151638,151916,123162,110374,111690,107177,110166,142481,122691,145306,145516,149669,138974,123104,111990,148389
DD_P,3,71850,90223,77111,81470,76333,75790,76522,74914,81427,83794,86130,81599,81468,82090,81682,76516,83312,81603,85822,72295,81732,80873,93452,85820,74742,81768,87832,72380,81894,82478
DD_P,4,65189,59127,72706,56286,58827,55107,63891,54155,60702,65440,64465,63261,62899,71960,68102,58059,71295,66479,62476,67963,72922,57568,74112,67581,60671,58819,58346,70755,59818,60240
DD_P,5,50557,49749,50118,49162,49983,46500,46628,57735,50248,55171,53911,52025,45886,47153,49929,52897,48919,51340,46969,51269,50772,45935,53030,48692,46176,53050,47113,47815,50209,48721
DD_P,6,44186,39791,47750,48823,40900,40838,47593,41263,51936,49472,41133,40205,42543,39722,51336,48909,49101,51409,41450,41157,41732,41023,48750,40636,41690,41780,39991,42562,41341,52092
DD_P,7,38084,38020,37386,38562,39163,42405,38600,42112,36207,37355,38422,38807,43824,42555,38700,42736,37612,36710,36758,36818,36310,43618,38411,38389,36848,35693,39494,36474,36897,37717
