DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
BARYCZ_FF,TDS_S,377525,362284,361821,362570,364033,362913,360730,360741,360290,361675,353171,353069,363164,354114,353008,358870,351329,353249,352199,352347,352646,353410,350201,352587,350671,350748,359064,348468,349796,350642
BARYCZ_FF,TDS_P,18266,18859,19206,19255,18807,20153,19050,18941,18717,19400,18701,18337,18408,18462,18497,18983,18345,19265,18229,19529,18589,18562,18562,18377,19102,19498,18393,18395,19143,18827
BARYCZ_FF,DD_S,196147,198728,215856,222822,211659,198102,196613,201477,200176,222132,189061,188650,188936,240241,246206,188001,189188,249700,247270,187422,249639,191027,189574,187632,189214,187857,245523,187291,187549,187716
BARYCZ_FF,DD_P,16493,16760,16948,17231,17852,16340,16257,15805,16289,16161,16658,16928,15734,18026,16725,16871,17860,17010,16784,16946,17937,18312,19457,16422,18436,19173,18436,18751,16786,15927
WIEPRZ_FF,R_S,80842,79986,80813,80608,80608,80595,80745,80658,80652,80557,80559,80774,80545,80659,80007,79992,80085,80701,80650,80157,80033,80921,80678,80023,81064,81135,80960,80573,79916,80004
WIEPRZ_FF,R_T100,83592,83531,80802,80564,83712,83575,81722,80829,81065,83780,80625,80598,80637,80574,81443,83996,79973,83517,80651,79927,83813,83459,81293,79890,80492,83678,83650,80665,80010,80008
WIEPRZ_FF,R_T200,80512,80759,80720,81208,81394,80655,80960,83793,80764,80620,80564,81488,80642,80507,80511,83542,83608,81479,80795,81184,83799,83556,80026,80634,80759,80898,80798,80648,80544,80720
WIEPRZ_FF,R_T400,80856,80732,83705,80622,84457,80704,83605,83820,83771,79981,80582,81508,80633,80878,80684,80600,80732,80120,83572,80108,83623,80686,83706,80767,80732,80784,81770,83757,80129,81496
WIEPRZ_FF,R_T800,81420,81065,80562,81091,80332,81870,83950,82608,80988,80951,83670,81032,82842,81076,81555,84101,80948,81819,84510,81092,81338,81001,80447,84113,84308,81041,81481,80963,80423,80457
WIEPRZ_FF,R_T1600,81667,81744,80609,81915,81987,84850,80983,81098,83585,81518,81601,84154,80972,81465,80819,84145,81035,81386,84103,81149,81448,81025,81173,81221,84182,84119,80413,85338,80860,81684
WIEPRZ_FF,TDM_S,274553,273865,312469,274910,276076,275252,274859,274124,274566,277822,275276,274833,273847,283230,283076,283125,282687,282338,282878,282089,279690,281492,280128,280079,281491,281826,279781,281794,280506,282413
WIEPRZ_FF,TDS_S,302054,302555,302226,302668,303363,303032,303127,303198,302760,302760,303020,302743,303129,308959,308056,306471,306803,307692,308279,308134,306546,306018,307212,307356,301329,306507,307300,307059,305466,303937
WIEPRZ_FF,TDS_P,16210,16056,17149,16203,16245,16102,16066,16065,15962,16712,16497,16011,16067,16654,16611,16641,16771,16607,16572,16636,16072,16762,16851,16679,16535,16555,16571,16558,16565,16431
WIEPRZ_FF,DD_S,162881,163187,163399,163232,163270,162988,163313,163052,163320,163527,163414,163609,162993,169147,168246,169358,176138,167972,167536,168404,168595,168184,168351,166872,167417,171229,167963,166716,166319,166834
WIEPRZ_FF,DD_P,15464,16443,15117,16208,15905,15969,14714,14473,14634,13489,14764,15054,14582,15122,14740,14089,14489,14637,14081,14584,13648,13576,14414,14362,14023,14027,14682,15194,14150,14946
KAMIENNA_B,R_S,25845,25835,25864,25824,25831,25884,25841,25840,25847,25846,26088,25871,25859,25831,25824,26121,25865,25829,25832,25870,25850,25877,25841,25836,25836,25865,25884,25828,25894,25829
KAMIENNA_B,R_T100,25895,25983,25863,25868,25842,25983,25895,26128,25840,25830,25869,25834,25873,25864,25860,25843,25844,26039,26143,25843,25890,25989,25996,25838,25836,25880,26016,25846,25834,25849
KAMIENNA_B,R_T200,26011,25851,25880,25868,25885,26040,26009,25872,26017,25964,25883,26165,25847,25888,25998,26013,26056,25863,25855,25846,25864,26874,25858,25990,25999,26000,25896,25865,25868,26113
KAMIENNA_B,R_T400,27120,26353,25904,26105,26141,26033,26015,26039,26063,26110,25933,26036,25915,26065,25985,26060,26068,26208,26030,26004,26165,26034,25890,26059,26983,26101,26189,25896,26069,25882
KAMIENNA_B,R_T800,26117,26230,27139,25931,26066,25906,25990,26082,26194,26109,26307,25904,26103,26174,25937,26310,26058,26111,26124,25906,26039,27627,25913,26063,26117,26063,25909,26093,26085,25958
KAMIENNA_B,R_T1600,26001,26002,26196,26285,25978,26145,26171,26283,26132,26128,26315,26431,26017,25981,25992,25977,26165,26148,25951,26224,25966,26114,26016,26145,26330,26439,26488,26181,26292,25941
KAMIENNA_B,TDM_S,67072,66500,67906,65939,66411,66399,66101,65350,65281,65780,65526,65106,65039,64846,64869,64625,64632,64291,64079,63966,63958,63770,64070,63579,63593,63515,63778,63406,63283,63353
KAMIENNA_B,TDS_S,66875,66873,66949,66785,66453,66459,66679,66456,66735,66542,66380,66271,66351,66367,66495,66420,66443,66834,66483,66503,66355,66321,66409,66697,66648,66307,66593,66620,66388,66375
KAMIENNA_B,TDS_P,3756,3757,3837,3805,3796,3812,3989,3696,3847,3694,3851,3968,3755,3953,3824,3805,3915,3850,3869,3902,3861,3870,3850,3735,3739,3814,3792,3790,3751,3839
KAMIENNA_B,DD_S,42445,41822,42280,41757,41230,41247,41337,41091,41155,40996,41154,40889,40741,40701,40413,40250,40089,40039,39910,39839,39942,39774,39850,39691,39686,39812,39662,39697,40036,39893
KAMIENNA_B,DD_P,4003,3689,3727,3603,3602,3656,3713,3662,3664,3646,3841,3639,3606,3744,3743,3984,3895,3698,3660,3607,3773,3530,3652,3695,3864,3684,3999,4028,3726,3631
TANEW_B,R_S,28584,29045,28581,30764,28912,28583,28836,28567,28680,28589,28586,28575,28607,28607,28693,28585,28836,28671,28592,28877,28581,28590,28852,28856,28746,28685,28992,28879,28611,28846
TANEW_B,R_T100,30544,28919,29075,28720,29906,29051,29097,29030,29084,28958,28671,28933,30047,28622,29989,29883,28637,28709,28886,28908,28966,28895,28620,28862,29903,29113,28886,29023,28670,28889
TANEW_B,R_T200,30565,28727,28942,29098,29069,30507,30569,28926,29922,29318,28932,29326,28991,28678,28650,29943,29969,28742,28931,30018,28763,28950,28912,30658,28765,28676,29082,28939,29107,29087
TANEW_B,R_T400,29005,29008,30612,30800,28888,30755,30655,28706,30032,28745,29101,30786,28712,29063,29445,28715,28968,29186,29209,28702,29018,28851,28800,28840,29092,29016,28761,29141,28971,29282
TANEW_B,R_T800,29956,29489,29560,30630,31068,30499,29600,30449,29406,29155,29502,29730,29267,29505,29211,29051,29472,28863,29250,29433,29114,29219,29620,29364,29689,30447,29346,29558,29334,29485
TANEW_B,R_T1600,30145,30256,29810,29461,30402,29608,30357,30573,29495,29877,29763,29697,29949,29626,30246,31451,29786,29910,29932,29655,30726,30634,29688,31143,30142,29681,30608,31675,30999,30238
TANEW_B,TDM_S,74338,74478,74306,74712,73790,73828,74227,73344,73284,73389,73197,73292,72915,72525,72551,72495,72191,71972,71874,72262,71695,71782,71681,71654,71621,71275,71172,71090,71146,71273
TANEW_B,TDS_S,75374,74615,74934,74836,75439,74695,74309,74470,75400,74482,74352,74273,74304,74147,74418,74321,74272,74245,75001,74415,74223,74148,75113,74383,74317,74323,74251,74486,75255,74370
TANEW_B,TDS_P,4039,3914,4057,3923,3919,4054,4096,4056,3968,3936,4095,3983,4331,3974,4071,4111,4120,3944,4056,4097,4142,4157,4282,4042,3950,3973,3912,4010,4147,4075
TANEW_B,DD_S,45358,47759,45249,45286,45244,45121,44996,44679,44600,44696,44433,44403,44262,44065,43973,43860,43708,43792,43473,43685,43387,43317,43256,43159,43108,43118,47029,43337,43349,43117
TANEW_B,DD_P,4048,3967,4249,4484,4160,4127,4272,4074,4175,4007,4210,4115,4251,4068,3970,4155,4160,4137,4130,4210,4195,3973,4186,4291,4393,4069,4264,4032,4134,4157
BARYCZ_B,R_S,90870,90747,90908,90836,90846,90816,90930,90992,90802,91278,91880,90842,90895,91295,90765,91402,91541,97090,91151,91244,91481,90804,90890,91251,91282,90833,90812,91534,91576,90838
BARYCZ_B,R_T100,90941,94334,90888,91414,90857,91062,91901,90906,91524,91626,93844,90849,91619,91601,91015,92452,91456,94051,91451,95906,90932,91364,94422,90897,91401,91672,91396,90946,91057,91433
BARYCZ_B,R_T200,91147,94257,91008,91048,94167,91327,94325,90978,91609,90911,93848,94031,97047,91068,94378,91601,95469,90900,91000,96133,96896,94163,93982,95623,93830,91055,91529,92430,91489,90998
BARYCZ_B,R_T400,96834,91030,94532,94205,91054,91020,95580,94030,91111,91556,92584,93969,91108,95919,91661,91215,91101,91083,94681,91029,91017,91490,96022,96078,91052,95620,91071,95897,91539,90709
BARYCZ_B,R_T800,96208,91557,94541,91167,91194,94624,94302,91100,94411,91173,91165,91186,94078,94935,94225,91559,91156,91788,94259,91202,91184,91657,91620,91696,91597,91661,91650,91117,91065,94145
BARYCZ_B,R_T1600,91506,94670,92455,96248,91698,96567,94446,94516,94604,91787,91619,94778,91391,94674,92004,96353,94530,94481,97073,96314,96293,91249,92034,94831,96248,91444,91391,96315,94944,94486
BARYCZ_B,TDM_S,250250,237586,237769,238380,238439,237802,238074,239069,237495,227266,226698,226840,227063,240528,226726,225908,225743,224645,265856,223522,225658,227026,238742,236364,226789,226011,237744,224361,224311,223945
BARYCZ_B,TDS_S,241281,244755,241356,244623,241787,240103,241083,241634,241138,236955,237228,236938,238199,235308,237278,235873,236739,246481,235595,236412,237221,236667,234290,235816,250931,234430,234475,236154,234039,234300
BARYCZ_B,TDS_P,12842,12387,12751,13306,12969,12949,13015,12817,12910,12495,13090,12455,12829,12860,12910,13067,12726,12728,12981,12801,12862,12998,12942,12830,12987,12737,13107,12700,13004,12720
BARYCZ_B,DD_S,150104,145921,145635,145326,145380,145478,142754,147869,144428,135492,135381,135788,135095,158952,177442,180954,180416,174922,168049,179847,178868,171882,172677,174487,159478,180243,134803,134579,133856,134896
BARYCZ_B,DD_P,13159,13555,13624,13204,13666,12928,13290,13666,14081,13449,13678,13321,13709,13516,13386,13464,14674,13379,13214,13091,13502,13699,13443,13798,13285,13075,13771,13401,13272,13543
WIEPRZ_B,R_S,80093,79780,79972,80005,80054,80045,79937,79948,79941,79932,80046,80061,79986,79932,79968,79916,80019,79892,81065,79935,79922,81272,80021,80007,79937,79960,79844,79985,80018,79990
WIEPRZ_B,R_T100,81098,80540,84930,81390,81417,79867,81378,79931,79895,81411,80666,81190,79980,79946,79948,79912,80081,81457,80013,81522,81432,81423,81413,81347,79953,79917,80882,81367,80715,80012
WIEPRZ_B,R_T200,81167,80064,81033,83643,83763,81238,81125,79942,81128,81455,80003,79980,84828,79952,81175,79939,80048,81434,79999,79946,79856,79982,81401,85321,81129,79963,79893,80886,79952,79984
WIEPRZ_B,R_T400,81726,80032,80094,79973,81514,81364,81299,80049,80095,80079,81495,80029,79986,81474,79958,80838,81609,80077,81139,80973,80099,79990,80658,81078,81518,81502,81493,80007,80026,80942
WIEPRZ_B,R_T800,80403,85258,81626,81568,80507,82035,80354,81586,81854,80474,81419,80363,82570,80464,82019,80050,81732,80424,80491,80399,80462,80488,80284,81904,81857,81942,81849,80497,80417,80380
WIEPRZ_B,R_T1600,81681,80372,81173,81810,86057,82069,81073,80294,80450,81617,80033,80722,80333,82212,80815,80319,81914,80263,81938,85845,81573,80445,80394,81465,80387,80759,81902,81535,81677,86137
WIEPRZ_B,TDM_S,209494,201783,202538,224839,202575,201733,202784,201657,202541,202424,201579,201987,201713,218888,210509,210195,209316,210043,208270,211383,209181,206256,209958,206501,209993,207165,209155,207788,206117,205708
WIEPRZ_B,TDS_S,210504,210081,210401,211458,210620,212303,210524,212494,209453,210640,210617,210716,211524,213335,212303,212989,212259,211325,212634,212722,212751,212425,213327,211225,212210,212481,212367,211260,211232,211146
WIEPRZ_B,TDS_P,11914,11630,11573,11688,11635,11997,11696,11866,11698,11780,11716,11633,11694,11720,11915,11674,11534,11928,11730,11860,11663,11550,11694,12042,11462,11578,11672,11620,11406,11624
WIEPRZ_B,DD_S,121372,120709,121339,161320,121261,120795,121365,120701,125590,121372,127197,121118,126045,125787,125903,126564,125156,125794,125120,125356,125122,124954,123972,124445,125361,125131,124216,123601,123757,123876
WIEPRZ_B,DD_P,12309,11699,12395,12057,12012,11909,13085,11833,12080,12126,12083,12107,11431,11747,12464,11950,11795,11507,11710,11789,12206,11632,12792,12089,12224,12159,12695,13274,13433,13515
