DATASET,ALGORITHM,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
BARYCZ_FF,TDS_S,374455,377868,377202,388176,376583,378216,378282,377073,377545,378874,377692,377188,377924,377745,377989,378079,378367,377594,378816,378465,378638,377753,378562,377703,378699,377646,378407,377848,378166,378104
BARYCZ_FF,TDS_P,31177,31243,31005,30978,31646,31079,31096,30914,31198,31164,31101,31027,31106,31025,31169,31196,31191,31020,31149,31170,31149,31038,30997,31570,31047,30967,31118,30990,31542,31118
BARYCZ_FF,DD_S,206843,208338,208281,208443,208028,208253,208287,208329,208419,208184,208025,208150,208480,208389,208466,208547,209651,208532,208528,208422,209458,208204,208119,208303,208168,208907,208700,208507,208460,208249
BARYCZ_FF,DD_P,25674,27789,24981,26768,24924,23651,27745,24722,27966,25573,29218,26672,22697,25855,23143,26895,24532,24224,22806,23212,26119,27067,24424,26902,24286,25698,23664,27789,25426,25887
WIEPRZ_FF,R_S,84931,84615,84856,84762,84497,85061,84355,84601,84557,84368,84460,84785,84596,84594,87922,84439,84405,84557,87343,84396,84811,84504,84559,84734,87402,84646,84556,84604,84669,84563
WIEPRZ_FF,R_T100,84750,86909,84976,88228,87017,84774,87122,87956,87434,87420,86993,84737,84710,85207,87365,84713,84998,87390,85288,86880,84656,84737,84839,84899,84723,84641,84970,87672,85203,85086
WIEPRZ_FF,R_T200,84953,87537,84738,87317,85093,87414,87282,84734,85034,87953,87327,87736,87496,85337,84723,88337,87408,88186,84938,87554,87493,87260,88165,87422,87638,87542,88499,87713,87629,84914
WIEPRZ_FF,R_T400,85314,84649,88619,84824,87195,88611,87464,84647,84756,89161,88442,84888,85001,84926,84739,87639,87407,84816,87468,89214,89528,87482,87748,87581,85137,88539,84751,88191,89432,84605
WIEPRZ_FF,R_T800,85133,87577,88448,87801,85247,88973,89468,87800,84882,85157,84834,87857,88975,84936,87824,86592,88414,85059,84933,84826,87566,87708,84905,87531,90164,89759,87828,88674,84627,90168
WIEPRZ_FF,R_T1600,85488,85782,84618,84972,87520,87412,84587,86965,89051,88014,87024,89125,86058,87385,87404,87324,88387,84677,84956,84431,85535,84641,85320,85202,84772,84601,88833,87356,88406,87683
WIEPRZ_FF,TDM_S,297691,301051,299130,299101,299165,299098,299707,298924,299263,299912,299178,299310,299445,299372,299238,299379,299309,299236,299462,299438,299309,299383,299451,299490,299006,299281,299257,299051,299710,299664
